firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding,source_ticker
CME-US,2026-03-31,2026Q1,2026,20260422,20260408,302.81,109725.08,109725.08,"%FQL-E-ERROR, The value 20260408 is not valid.

",CME-US
CME-US,2025-12-31,2025Q4,2025,20260204,20260121,279.07,100631.71,100631.71,"%FQL-E-ERROR, The value 20260121 is not valid.

",CME-US
CME-US,2025-09-30,2025Q3,2025,20251022,20251008,264.94,95536.48,95536.48,"%FQL-E-ERROR, The value 20251008 is not valid.

",CME-US
CME-US,2025-06-30,2025Q2,2025,20250723,20250709,275.64,99334.336,99334.336,"%FQL-E-ERROR, The value 20250709 is not valid.

",CME-US
CME-US,2025-03-31,2025Q1,2025,20250423,20250408,255.03,91907.6,91907.6,"%FQL-E-ERROR, The value 20250408 is not valid.

",CME-US
CME-US,2024-12-31,2024Q4,2024,20250212,20250129,232.5,83783.484,83783.484,"%FQL-E-ERROR, The value 20250129 is not valid.

",CME-US
CME-US,2024-09-30,2024Q3,2024,20241023,20241009,221.46,79805.125,79805.125,"%FQL-E-ERROR, The value 20241009 is not valid.

",CME-US
CME-US,2024-06-28,2024Q2,2024,20240724,20240710,193.58,69706.92,69706.92,"%FQL-E-ERROR, The value 20240710 is not valid.

",CME-US
CME-US,2024-03-29,2024Q1,2024,20240424,20240410,212.0,76325.34,76325.34,"%FQL-E-ERROR, The value 20240410 is not valid.

",CME-US
CME-US,2023-12-29,2023Q4,2023,20240214,20240131,205.84,74100.305,74100.305,"%FQL-E-ERROR, The value 20240131 is not valid.

",CME-US
CME-US,2023-09-29,2023Q3,2023,20231025,20231011,217.1,78100.91,78100.91,"%FQL-E-ERROR, The value 20231011 is not valid.

",CME-US
CME-US,2023-06-30,2023Q2,2023,20230726,20230712,181.31,65219.836,65219.836,"%FQL-E-ERROR, The value 20230712 is not valid.

",CME-US
MSFT-US,2026-03-31,2026Q1,2026,20260429,20260415,411.22,3053567.3,3053567.3,,MSFT-US
MSFT-US,2025-12-31,2025Q4,2025,20260128,20260113,470.67,3498197.3,3498197.3,,MSFT-US
MSFT-US,2025-09-30,2025Q3,2025,20251029,20251015,513.43,3816370.0,3816370.0,,MSFT-US
MSFT-US,2025-06-30,2025Q2,2025,20250730,20250716,505.62,3758042.8,3758042.8,,MSFT-US
MSFT-US,2025-03-31,2025Q1,2025,20250430,20250415,385.73,2867510.0,2867510.0,,MSFT-US
MSFT-US,2024-12-31,2024Q4,2024,20250129,20250114,415.67,3090457.0,3090457.0,,MSFT-US
MSFT-US,2024-09-30,2024Q3,2024,20241030,20241016,416.12,3093617.8,3093617.8,,MSFT-US
MSFT-US,2024-06-28,2024Q2,2024,20240730,20240716,449.52,3340970.0,3340970.0,,MSFT-US
MSFT-US,2024-03-29,2024Q1,2024,20240425,20240411,427.93,3179706.5,3179706.5,,MSFT-US
MSFT-US,2023-12-29,2023Q4,2023,20240130,20240116,390.27,2900486.5,2900486.5,,MSFT-US
MSFT-US,2023-09-29,2023Q3,2023,20231024,20231010,328.39,2439619.5,2439619.5,,MSFT-US
MSFT-US,2023-06-30,2023Q2,2023,20230725,20230711,332.47,2472076.8,2472076.8,,MSFT-US
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260415,133.05,141964.36,141964.36,,QCOM-US
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260121,156.37,167010.2,167010.2,,QCOM-US
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251022,169.27,182642.33,182642.33,,QCOM-US
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250716,154.07,169168.88,169168.88,,QCOM-US
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250415,138.6,153291.61,153291.61,,QCOM-US
QCOM-US,2024-12-31,2024Q4,2024,20250205,20250122,170.24,188285.45,188285.45,,QCOM-US
QCOM-US,2024-09-30,2024Q3,2024,20241106,20241023,166.6,185592.4,185592.4,,QCOM-US
QCOM-US,2024-06-28,2024Q2,2024,20240731,20240717,191.6,213825.61,213825.61,,QCOM-US
QCOM-US,2024-03-29,2024Q1,2024,20240501,20240417,164.32,183381.13,183381.13,,QCOM-US
QCOM-US,2023-12-29,2023Q4,2023,20240131,20240117,139.32,155757.86,155757.86,,QCOM-US
QCOM-US,2023-09-29,2023Q3,2023,20231101,20231018,110.98,123853.69,123853.69,,QCOM-US
QCOM-US,2023-06-30,2023Q2,2023,20230802,20230719,124.42,138603.88,138603.88,,QCOM-US
TSM-US,2026-03-31,2026Q1,2026,20260416,20260401,341.49,1771139.5,1771139.5,,TSM-US
TSM-US,2025-12-31,2025Q4,2025,20260115,20251231,303.89,1576127.0,1576127.0,,TSM-US
TSM-US,2025-09-30,2025Q3,2025,20251016,20251002,288.11,1494289.0,1494289.0,,TSM-US
TSM-US,2025-06-30,2025Q2,2025,20250717,20250702,233.6,1211571.8,1211571.8,,TSM-US
TSM-US,2025-03-31,2025Q1,2025,20250417,20250403,157.38,816258.75,816258.75,,TSM-US
TSM-US,2024-12-31,2024Q4,2024,20250116,20241231,197.49,1024291.2,1024291.2,,TSM-US
TSM-US,2024-09-30,2024Q3,2024,20241017,20241003,179.48,930881.44,930881.44,,TSM-US
TSM-US,2024-06-28,2024Q2,2024,20240718,20240703,182.49,946525.7,946525.7,,TSM-US
TSM-US,2024-03-29,2024Q1,2024,20240410,20240326,138.84,720163.94,720163.94,,TSM-US
TSM-US,2023-12-29,2023Q4,2023,20240110,20231226,104.45,541720.94,541720.94,,TSM-US
TSM-US,2023-09-29,2023Q3,2023,20231006,20230922,85.64,444164.5,444164.5,,TSM-US
TSM-US,2023-06-30,2023Q2,2023,20230720,20230706,99.41,515581.44,515581.44,,TSM-US
